episode,shots,reward,mode_switches,moving_avg_shots,moving_avg_rewards
1865,115,25.40000000000002,2,71.87,31.452999999999978
1866,42,29.69999999999999,4,71.48,31.46199999999998
1867,53,34.6,4,71.33,31.446999999999974
1868,39,38.99999999999999,2,70.83,31.526999999999976
1869,82,31.7,2,71.04,31.59599999999997
1870,62,36.69999999999998,4,70.92,31.667999999999974
1871,70,35.899999999999984,4,70.76,31.68399999999998
1872,80,31.899999999999984,4,71.07,31.68299999999998
1873,96,33.29999999999999,4,71.4,31.709999999999983
1874,69,23.999999999999986,3,70.93,31.666999999999987
1875,35,33.39999999999999,4,70.42,31.717999999999982
1876,76,29.30000000000002,2,70.68,31.661999999999985
1877,83,34.599999999999945,4,71.0,31.689999999999984
1878,70,29.899999999999963,4,70.73,31.686999999999983
1879,57,34.19999999999996,2,71.04,31.685999999999982
1880,51,37.79999999999997,4,70.9,31.75999999999998
1881,121,24.800000000000004,3,71.34,31.65599999999998
1882,60,36.89999999999996,4,71.5,31.699999999999985
1883,74,29.500000000000004,2,71.28,31.721999999999984
1884,46,38.29999999999998,4,71.05,31.804999999999986
1885,116,31.29999999999994,4,71.3,31.779999999999983
1886,95,30.39999999999995,5,71.46,31.76399999999999
1887,56,28.29999999999997,2,71.35,31.714999999999986
1888,43,32.59999999999999,3,70.99,31.75099999999998
1889,61,27.79999999999994,4,70.83,31.766999999999985
1890,87,34.19999999999996,2,71.33,31.74699999999998
1891,64,24.499999999999986,3,71.45,31.614999999999977
1892,99,26.999999999999908,2,71.41,31.61899999999998
1893,121,24.800000000000004,4,72.09,31.550999999999984
1894,50,22.899999999999984,2,72.28,31.411999999999985
1895,87,31.19999999999998,2,72.45,31.424999999999986
1896,106,29.299999999999926,2,72.44,31.455999999999975
1897,96,27.299999999999926,4,72.76,31.363999999999972
1898,114,25.49999999999994,4,73.15,31.294999999999973
1899,84,28.499999999999964,2,73.19,31.260999999999978
1900,57,31.199999999999953,4,73.06,31.243999999999975
1901,104,26.499999999999886,4,73.41,31.178999999999977
1902,117,25.19999999999994,2,74.23,31.09699999999997
1903,44,35.49999999999997,2,74.2,31.129999999999974
1904,104,29.499999999999893,2,74.61,31.058999999999973
1905,99,27.00000000000003,3,74.99,30.990999999999975
1906,36,39.29999999999999,4,74.55,31.064999999999976
1907,44,32.49999999999997,2,73.98,31.12199999999998
1908,99,26.999999999999993,2,74.35,31.05499999999998
1909,92,27.69999999999998,2,74.34,30.995999999999977
1910,64,24.499999999999986,3,73.98,30.971999999999976
1911,69,30.000000000000007,4,74.02,30.967999999999975
1912,79,28.999999999999957,2,74.15,30.954999999999977
1913,30,33.9,2,73.66,30.97399999999998
1914,55,37.399999999999984,5,73.8,31.019999999999982
1915,92,27.699999999999918,2,73.62,31.037999999999975
1916,80,28.899999999999938,2,73.7,30.969999999999978
1917,106,26.2999999999999,4,74.02,30.907999999999973
1918,101,32.7999999999999,2,74.38,30.93199999999997
1919,57,31.200000000000003,2,73.85,30.984999999999967
1920,85,31.39999999999992,2,74.05,30.99499999999997
1921,115,28.399999999999924,4,74.74,30.925999999999974
1922,117,28.20000000000001,4,75.62,30.86799999999997
1923,97,30.199999999999946,4,75.78,30.851999999999972
1924,84,28.5,2,75.9,30.77999999999997
1925,94,27.499999999999957,2,76.25,30.744999999999973
1926,96,30.299999999999883,5,76.27,30.772999999999964
1927,100,26.89999999999992,4,76.82,30.65799999999997
1928,41,38.8,4,76.61,30.73899999999997
1929,45,32.399999999999984,4,76.43,30.726999999999975
1930,71,29.799999999999983,5,75.62,30.777999999999977
1931,127,27.199999999999953,2,76.49,30.720999999999975
1932,63,30.599999999999987,3,76.19,30.72099999999997
1933,57,37.199999999999946,4,75.91,30.778999999999975
1934,92,27.699999999999918,4,76.06,30.70399999999997
1935,62,33.69999999999996,5,76.07,30.67299999999997
1936,81,28.79999999999994,2,76.13,30.696999999999967
1937,56,31.299999999999976,2,76.01,30.708999999999968
1938,119,25.000000000000007,2,76.46,30.66399999999997
1939,69,36.0,6,76.68,30.671999999999976
1940,28,37.1,3,76.45,30.664999999999978
1941,68,30.099999999999994,2,76.19,30.69099999999997
1942,108,29.099999999999916,5,76.33,30.676999999999968
1943,70,32.899999999999956,6,76.14,30.725999999999967
1944,39,33.0,5,76.0,30.67999999999997
1945,103,29.599999999999902,5,76.26,30.713999999999974
1946,102,26.700000000000017,4,76.47,30.69299999999997
1947,57,34.19999999999997,2,76.34,30.675999999999963
1948,55,37.39999999999997,6,76.44,30.695999999999966
1949,80,28.900000000000002,2,76.05,30.704999999999973
1950,123,30.599999999999916,2,76.6,30.709999999999972
1951,96,30.299999999999976,2,76.24,30.77599999999997
1952,48,32.09999999999998,3,75.68,30.831999999999976
1953,39,32.999999999999964,3,75.47,30.822999999999976
1954,82,28.70000000000001,3,75.95,30.774999999999967
1955,111,28.799999999999912,2,76.65,30.734999999999964
1956,53,34.599999999999966,2,76.44,30.785999999999966
1957,68,33.099999999999994,5,76.35,30.824999999999967
1958,73,29.599999999999937,5,76.6,30.799999999999965
1959,49,31.999999999999993,3,76.23,30.836999999999968
1960,86,34.29999999999994,2,76.44,30.905999999999963
1961,83,28.59999999999996,4,76.28,30.891999999999967
1962,42,38.69999999999997,2,76.25,30.894999999999964
1963,66,33.300000000000004,4,76.34,30.885999999999967
1964,61,36.79999999999998,6,76.5,30.929999999999968
1965,37,27.199999999999996,4,75.72,30.947999999999965
1966,39,32.99999999999998,4,75.69,30.980999999999973
1967,125,24.399999999999928,4,76.41,30.878999999999973
1968,90,27.899999999999995,4,76.92,30.76799999999997
1969,103,29.600000000000005,4,77.13,30.746999999999968
1970,102,26.699999999999974,4,77.53,30.646999999999966
1971,46,29.299999999999983,3,77.29,30.580999999999968
1972,127,24.20000000000001,2,77.76,30.503999999999966
1973,66,30.299999999999947,2,77.46,30.473999999999965
1974,42,23.699999999999996,4,77.19,30.47099999999996
1975,72,32.699999999999996,4,77.56,30.46399999999996
1976,94,21.5,2,77.74,30.385999999999964
1977,91,33.799999999999955,2,77.82,30.377999999999965
1978,35,33.39999999999999,2,77.47,30.41299999999997
1979,86,28.29999999999998,4,77.76,30.353999999999974
1980,106,26.299999999999958,2,78.31,30.238999999999972
1981,40,35.89999999999998,4,77.5,30.349999999999973
1982,95,30.4,4,77.85,30.28499999999997
1983,115,28.399999999999924,4,78.26,30.273999999999972
1984,80,28.89999999999992,5,78.6,30.17999999999997
1985,71,29.79999999999996,2,78.15,30.164999999999974
1986,85,34.39999999999996,6,78.05,30.204999999999973
1987,89,34.00000000000001,4,78.38,30.261999999999972
1988,48,38.099999999999994,4,78.43,30.31699999999997
1989,60,36.89999999999996,2,78.42,30.40799999999997
1990,61,33.799999999999955,4,78.16,30.403999999999968
1991,58,31.099999999999984,6,78.1,30.469999999999967
1992,103,29.599999999999895,2,78.14,30.495999999999967
1993,50,31.900000000000006,5,77.43,30.566999999999965
1994,109,28.99999999999998,5,78.02,30.627999999999965
1995,47,38.199999999999974,4,77.62,30.697999999999965
1996,67,33.199999999999946,4,77.23,30.736999999999963
1997,50,28.899999999999984,5,76.77,30.75299999999996
1998,95,30.399999999999896,5,76.58,30.801999999999968
1999,51,34.79999999999999,2,76.25,30.864999999999974
2000,98,27.09999999999998,3,76.66,30.823999999999973
2001,37,36.19999999999998,2,75.99,30.920999999999967
2002,70,26.900000000000013,5,75.52,30.93799999999997
2003,90,27.899999999999952,3,75.98,30.861999999999966
2004,86,28.29999999999999,2,75.8,30.849999999999973
2005,68,36.09999999999996,2,75.49,30.94099999999997
2006,86,34.29999999999998,4,75.99,30.890999999999977
2007,40,32.89999999999997,4,75.95,30.89499999999997
2008,29,36.999999999999986,2,75.25,30.994999999999973
2009,55,37.39999999999995,4,74.88,31.09199999999997
2010,40,38.89999999999996,3,74.64,31.235999999999972
2011,64,33.499999999999986,2,74.59,31.270999999999972
2012,120,27.899999999999878,4,75.0,31.25999999999997
2013,40,32.89999999999999,2,75.1,31.24999999999997
2014,130,23.89999999999993,3,75.85,31.114999999999966
2015,85,31.39999999999999,2,75.78,31.151999999999976
2016,57,31.199999999999996,5,75.55,31.17499999999997
2017,72,32.699999999999974,4,75.21,31.23899999999997
2018,123,27.599999999999895,2,75.43,31.186999999999966
2019,40,38.89999999999998,5,75.26,31.263999999999967
2020,102,26.699999999999946,3,75.43,31.216999999999967
2021,61,36.799999999999976,6,74.89,31.300999999999977
2022,59,30.999999999999986,4,74.31,31.328999999999972
2023,67,36.19999999999996,4,74.01,31.388999999999967
2024,87,34.199999999999925,4,74.04,31.445999999999966
2025,46,32.299999999999976,4,73.56,31.493999999999968
2026,79,28.999999999999922,3,73.39,31.480999999999973
2027,34,33.50000000000001,5,72.73,31.546999999999972
2028,18,38.099999999999994,3,72.5,31.539999999999967
2029,31,33.799999999999976,2,72.36,31.553999999999974
2030,22,31.7,2,71.87,31.57299999999997
2031,68,30.09999999999998,4,71.28,31.601999999999965
2032,117,28.199999999999942,2,71.82,31.577999999999964
2033,90,27.89999999999999,3,72.15,31.484999999999964
2034,79,28.999999999999943,4,72.02,31.49799999999997
2035,93,33.59999999999999,4,72.33,31.496999999999968
2036,40,32.900000000000006,3,71.92,31.53799999999997
2037,70,29.899999999999963,2,72.06,31.52399999999997
2038,66,30.29999999999997,2,71.53,31.576999999999977
2039,99,26.999999999999993,4,71.83,31.48699999999997
2040,88,34.09999999999994,3,72.43,31.456999999999972
2041,63,33.59999999999997,5,72.38,31.491999999999972
2042,54,31.49999999999997,4,71.84,31.515999999999966
2043,64,36.5,2,71.78,31.551999999999968
2044,65,33.399999999999984,2,72.04,31.55599999999997
2045,75,29.399999999999963,4,71.76,31.55399999999997
2046,67,33.2,3,71.41,31.618999999999968
2047,60,36.899999999999984,3,71.44,31.645999999999972
2048,84,31.499999999999986,2,71.73,31.58699999999997
2049,77,32.199999999999996,2,71.7,31.61999999999997
2050,118,28.099999999999945,2,71.65,31.594999999999967
2051,73,32.59999999999998,2,71.42,31.61799999999997
2052,45,38.399999999999956,6,71.39,31.68099999999997
2053,107,20.20000000000002,4,72.07,31.55299999999997
2054,55,31.39999999999999,5,71.8,31.57999999999997
2055,31,36.79999999999998,2,71.0,31.65999999999997
2056,97,30.199999999999896,3,71.44,31.615999999999968
2057,72,32.69999999999999,2,71.48,31.61199999999997
2058,64,30.49999999999999,4,71.39,31.620999999999967
2059,100,26.899999999999956,3,71.9,31.56999999999997
2060,51,31.79999999999996,3,71.55,31.544999999999973
2061,97,30.19999999999991,2,71.69,31.56099999999997
2062,57,28.199999999999967,2,71.84,31.45599999999997
2063,71,35.79999999999996,4,71.89,31.480999999999973
2064,51,31.8,2,71.79,31.430999999999973
2065,64,33.49999999999997,6,72.06,31.493999999999975
2066,119,28.00000000000003,2,72.86,31.443999999999974
2067,27,34.19999999999998,2,71.88,31.54199999999997
2068,82,34.69999999999995,3,71.8,31.609999999999967
2069,55,34.39999999999996,2,71.32,31.65799999999997
2070,73,26.599999999999945,2,71.03,31.656999999999968
2071,73,29.599999999999916,2,71.3,31.659999999999968
2072,57,37.199999999999946,2,70.6,31.789999999999974
2073,61,30.799999999999983,6,70.55,31.794999999999973
2074,105,26.399999999999988,2,71.18,31.82199999999997
2075,54,37.499999999999986,4,71.0,31.869999999999976
2076,56,34.29999999999995,2,70.62,31.997999999999976
2077,54,37.49999999999996,3,70.25,32.034999999999975
2078,126,24.299999999999887,4,71.16,31.943999999999964
2079,75,35.39999999999995,2,71.05,32.014999999999965
2080,44,32.5,2,70.43,32.07699999999997
2081,81,28.79999999999997,4,70.84,32.00599999999997
2082,66,36.299999999999976,6,70.55,32.064999999999976
2083,95,30.399999999999917,4,70.35,32.08499999999998
2084,87,34.199999999999996,4,70.42,32.13799999999998
2085,81,34.79999999999992,6,70.52,32.18799999999997
2086,42,35.69999999999998,2,70.09,32.200999999999965
2087,99,27.000000000000004,4,70.19,32.130999999999965
2088,33,30.599999999999994,2,70.04,32.05599999999997
2089,124,30.499999999999904,2,70.68,31.991999999999965
2090,80,22.900000000000006,4,70.87,31.882999999999967
2091,67,30.19999999999995,2,70.96,31.87399999999997
2092,32,36.699999999999996,5,70.25,31.94499999999997
2093,73,29.59999999999996,2,70.48,31.92199999999996
2094,105,29.399999999999956,4,70.44,31.925999999999966
2095,83,28.59999999999996,5,70.8,31.829999999999963
2096,39,29.999999999999968,2,70.52,31.797999999999966
2097,68,30.09999999999998,2,70.7,31.809999999999967
2098,78,29.10000000000001,2,70.53,31.796999999999965
2099,75,32.40000000000001,3,70.77,31.77299999999997
2100,75,32.39999999999996,4,70.54,31.82599999999997
2101,132,26.69999999999994,3,71.49,31.730999999999966
2102,44,35.499999999999986,3,71.23,31.81699999999997
2103,49,34.99999999999998,4,70.82,31.88799999999997
2104,36,36.29999999999997,4,70.32,31.96799999999997
2105,64,33.49999999999998,2,70.28,31.94199999999997
2106,62,33.699999999999946,4,70.04,31.935999999999968
2107,65,36.39999999999999,2,70.29,31.97099999999997
2108,112,28.69999999999995,2,71.12,31.88799999999997
2109,48,35.10000000000001,3,71.05,31.864999999999963
2110,54,37.49999999999998,2,71.19,31.850999999999967
2111,122,24.7,2,71.77,31.762999999999966
2112,79,31.99999999999994,4,71.36,31.803999999999963
2113,60,27.900000000000006,3,71.56,31.75399999999997
2114,89,33.99999999999994,2,71.15,31.85499999999997
2115,105,20.39999999999999,4,71.35,31.744999999999973
2116,51,34.799999999999976,2,71.29,31.78099999999997
2117,82,28.69999999999999,4,71.39,31.74099999999997
2118,111,31.799999999999944,4,71.27,31.78299999999997
2119,81,28.800000000000004,2,71.68,31.68199999999997
2120,118,22.09999999999993,3,71.84,31.635999999999967
2121,91,33.79999999999997,4,72.14,31.605999999999973
2122,42,32.69999999999999,2,71.97,31.62299999999997
2123,67,33.19999999999998,4,71.97,31.59299999999997
2124,60,27.900000000000006,4,71.7,31.52999999999997
2125,85,28.400000000000006,4,72.09,31.490999999999968
2126,88,31.099999999999987,4,72.18,31.511999999999965
2127,63,33.59999999999994,2,72.47,31.512999999999973
2128,89,25.000000000000014,2,73.18,31.38199999999997
2129,79,32.0,4,73.66,31.36399999999997
2130,101,32.79999999999997,4,74.45,31.37499999999997
2131,62,33.69999999999999,2,74.39,31.410999999999976
2132,50,31.899999999999984,2,73.72,31.44799999999997
2133,84,28.499999999999975,2,73.66,31.453999999999972
2134,45,32.399999999999984,2,73.32,31.487999999999975
2135,80,31.900000000000006,5,73.19,31.470999999999975
2136,63,27.599999999999987,2,73.42,31.41799999999997
2137,87,28.199999999999996,6,73.59,31.40099999999997
2138,113,28.599999999999884,3,74.06,31.38399999999997
2139,46,32.29999999999999,5,73.53,31.43699999999997
2140,112,25.7,4,73.77,31.35299999999997
2141,41,35.79999999999997,4,73.55,31.37499999999997
2142,67,30.199999999999992,2,73.68,31.36199999999997
2143,44,32.49999999999999,5,73.48,31.32199999999997
2144,59,33.99999999999997,4,73.42,31.327999999999975
2145,85,31.400000000000006,4,73.52,31.34799999999997
2146,119,24.99999999999989,2,74.04,31.265999999999973
2147,56,31.29999999999997,4,74.0,31.209999999999972
2148,63,30.599999999999987,2,73.79,31.200999999999972
2149,59,36.999999999999986,4,73.61,31.248999999999974
2150,65,30.399999999999963,4,73.08,31.27199999999997
2151,71,29.799999999999947,4,73.06,31.243999999999964
2152,55,31.399999999999974,3,73.16,31.173999999999968
2153,76,26.299999999999958,2,72.85,31.234999999999967
2154,78,32.09999999999997,4,73.08,31.241999999999972
2155,68,30.099999999999966,2,73.45,31.174999999999972
2156,40,38.89999999999998,4,72.88,31.261999999999976
2157,86,28.299999999999997,4,73.02,31.21799999999997
2158,81,31.800000000000026,3,73.19,31.230999999999977
2159,66,30.299999999999947,4,72.85,31.264999999999972
2160,41,38.799999999999976,6,72.75,31.334999999999976
2161,37,36.19999999999999,4,72.15,31.39499999999997
2162,98,27.099999999999994,2,72.56,31.38399999999997
2163,78,29.09999999999998,2,72.63,31.31699999999997
2164,93,33.59999999999997,2,73.05,31.33499999999997
2165,68,27.099999999999973,3,73.09,31.270999999999972
2166,52,31.69999999999998,6,72.42,31.30799999999997
2167,85,28.399999999999988,2,73.0,31.249999999999968
2168,34,39.49999999999999,2,72.52,31.297999999999973
2169,40,35.89999999999999,2,72.37,31.312999999999974
2170,75,35.39999999999999,2,72.39,31.400999999999982
2171,61,33.79999999999997,4,72.27,31.44299999999998
2172,86,28.29999999999996,4,72.56,31.35399999999998
2173,69,32.99999999999996,4,72.64,31.37599999999998
2174,80,28.899999999999984,4,72.39,31.400999999999982
2175,120,24.899999999999963,2,73.05,31.27499999999998
2176,68,36.09999999999995,4,73.17,31.292999999999978
2177,52,28.69999999999997,5,73.15,31.204999999999977
2178,88,28.099999999999966,4,72.77,31.24299999999997
2179,66,30.299999999999983,4,72.68,31.191999999999975
2180,78,35.09999999999992,4,73.02,31.217999999999975
2181,67,36.19999999999999,5,72.88,31.29199999999997
2182,63,30.600000000000005,3,72.85,31.23499999999997
2183,99,26.9999999999999,5,72.89,31.200999999999976
2184,51,31.799999999999997,4,72.53,31.176999999999975
2185,64,30.499999999999957,2,72.36,31.133999999999972
2186,92,33.69999999999994,4,72.86,31.11399999999998
2187,99,29.99999999999994,2,72.86,31.143999999999977
2188,94,33.49999999999994,2,73.47,31.172999999999973
2189,69,35.99999999999996,2,72.92,31.227999999999973
2190,76,29.299999999999983,5,72.88,31.291999999999977
2191,80,28.899999999999967,2,73.01,31.27899999999998
2192,82,31.700000000000003,4,73.51,31.228999999999974
2193,66,36.29999999999999,6,73.44,31.295999999999978
2194,76,29.29999999999995,2,73.15,31.294999999999973
2195,80,34.89999999999998,5,73.12,31.357999999999976
2196,68,30.09999999999995,5,73.41,31.358999999999973
2197,49,34.99999999999996,3,73.22,31.407999999999973
2198,86,25.299999999999947,2,73.3,31.369999999999976
2199,73,35.599999999999966,4,73.28,31.401999999999973
2200,41,32.8,2,72.94,31.405999999999977
2201,28,37.1,3,71.9,31.509999999999973
2202,23,34.599999999999994,2,71.69,31.500999999999976
2203,91,30.800000000000004,4,72.11,31.45899999999998
2204,45,35.39999999999997,3,72.2,31.449999999999978
2205,62,36.69999999999998,2,72.18,31.481999999999974
2206,78,32.09999999999995,2,72.34,31.465999999999976
2207,26,34.3,3,71.95,31.44499999999998
2208,118,25.099999999999966,4,72.01,31.408999999999974
2209,65,33.39999999999997,4,72.18,31.391999999999975
2210,80,34.89999999999998,5,72.44,31.365999999999982
2211,88,31.1,2,72.1,31.42999999999998
2212,131,23.799999999999986,4,72.62,31.347999999999978
2213,58,31.099999999999987,2,72.6,31.379999999999978
2214,48,29.10000000000001,3,72.19,31.33099999999997
2215,48,38.099999999999994,4,71.62,31.507999999999974
2216,70,29.899999999999974,4,71.81,31.458999999999975
2217,65,33.400000000000006,3,71.64,31.505999999999975
2218,110,31.89999999999991,4,71.63,31.50699999999998
2219,87,28.19999999999995,2,71.69,31.500999999999976
2220,78,35.09999999999995,4,71.29,31.630999999999975
2221,35,36.399999999999984,4,70.73,31.656999999999975
2222,84,28.500000000000014,3,71.15,31.614999999999974
2223,72,35.699999999999974,3,71.2,31.639999999999972
2224,55,31.400000000000006,4,71.15,31.674999999999983
2225,63,33.59999999999997,2,70.93,31.726999999999972
2226,62,33.69999999999998,2,70.67,31.752999999999975
2227,34,33.49999999999999,6,70.38,31.751999999999974
2228,57,37.19999999999999,2,70.06,31.873999999999974
2229,71,32.79999999999999,2,69.98,31.881999999999977
2230,73,29.6,4,69.7,31.849999999999977
2231,52,37.69999999999998,2,69.6,31.889999999999976
2232,54,31.499999999999982,4,69.64,31.88599999999997
2233,46,29.300000000000008,3,69.26,31.893999999999977
2234,83,31.599999999999987,5,69.64,31.885999999999978
2235,78,32.09999999999994,4,69.62,31.88799999999998
2236,71,29.79999999999997,2,69.7,31.909999999999982
2237,69,32.99999999999996,4,69.52,31.95799999999998
2238,57,34.19999999999994,4,68.96,32.01399999999998
2239,92,27.699999999999964,4,69.42,31.967999999999975
2240,46,32.3,4,68.76,32.03399999999998
2241,55,25.399999999999977,2,68.9,31.92999999999998
2242,72,35.699999999999974,2,68.95,31.984999999999978
